                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1337,                 6.0302,                 1.7485,                      0,                      0,                      0,                      0,                  5.968,                 6.1223,                 11.125,               0.070429,              0.0032857,              0.0032857
                      2,                 3.8295,                 4.8418,                 1.5467,                 0.0037,                0.00538,                0.00516,                0.00356,                 4.6339,                 5.5269,                 3.8738,               0.040407,              0.0065972,              0.0065972
                      3,                 3.8883,                 4.6268,                 1.5436,                  1e-05,                0.00242,                  1e-05,                      0,                 5.4688,                 4.5422,                 5.8087,               0.010363,              0.0098867,              0.0098867
                      4,                 3.7622,                 4.4422,                 1.4998,                0.78404,                0.01971,                0.01842,                0.00313,                 4.7215,                 4.0775,                 1.7462,               0.009901,               0.009901,               0.009901
                      5,                 3.6492,                 4.2979,                 1.4654,                0.53609,                0.05376,                0.03292,                0.00901,                 4.2835,                 3.6512,                 1.6511,               0.009868,               0.009868,               0.009868
                      6,                 3.5231,                 4.1303,                 1.4093,                0.80787,                0.06272,                 0.0815,                0.02774,                 3.9484,                 3.7891,                 1.4873,               0.009835,               0.009835,               0.009835
                      7,                 3.5322,                 4.0102,                 1.4104,                0.98875,                0.12377,                0.14302,                0.05017,                 3.3368,                 3.6647,                 1.3098,               0.009802,               0.009802,               0.009802
                      8,                 3.3722,                 3.7744,                 1.3699,                0.88503,                0.03405,                0.03456,                0.00861,                 4.1314,                 3.7439,                 1.5602,               0.009769,               0.009769,               0.009769
                      9,                 3.3521,                 3.6548,                 1.3543,                0.73156,                0.15352,                0.14862,                0.05344,                 3.2927,                 3.2715,                 1.2935,               0.009736,               0.009736,               0.009736
                     10,                  3.373,                 3.7058,                 1.3547,                0.95269,                0.14158,                0.13714,                0.05649,                 3.2003,                 3.3625,                 1.2917,               0.009703,               0.009703,               0.009703
                     11,                 3.1516,                 3.4933,                  1.316,                0.76699,                0.16552,                 0.1823,                0.06466,                 3.4306,                 3.1084,                 1.3149,                0.00967,                0.00967,                0.00967
                     12,                 3.0089,                 3.2698,                  1.278,                0.44555,                0.14815,                 0.1466,                0.05256,                 3.3023,                 2.9288,                 1.3261,               0.009637,               0.009637,               0.009637
                     13,                 3.0075,                 3.2262,                  1.252,                0.28424,                0.21721,                0.19363,                0.07416,                 3.0473,                 2.8642,                 1.2522,               0.009604,               0.009604,               0.009604
                     14,                 3.0127,                 3.0664,                 1.2696,                 0.4687,                0.23337,                0.22926,                0.08428,                 3.0045,                 2.7813,                  1.229,               0.009571,               0.009571,               0.009571
                     15,                 2.9555,                 3.0384,                 1.2543,                0.95385,                0.12007,                0.19433,                0.07304,                 2.9421,                 3.6883,                 1.2345,               0.009538,               0.009538,               0.009538
                     16,                 2.9218,                 2.9061,                 1.2454,                0.45118,                0.25026,                0.24861,                0.09757,                 2.8995,                 2.6366,                 1.1923,               0.009505,               0.009505,               0.009505
                     17,                 2.7636,                 2.7485,                 1.1895,                0.27569,                0.25574,                0.25353,                0.09362,                 2.9634,                 2.8467,                 1.2063,               0.009472,               0.009472,               0.009472
