                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 2.1474,                 1.4823,                  1.034,                0.76908,                0.60417,                0.65713,                0.30797,                 2.1016,                 1.4482,                 1.0201,               0.008845,               0.008845,               0.008845
                     37,                 2.1978,                 1.4628,                 1.0297,                  0.738,                0.63327,                0.66353,                0.28973,                 2.1163,                 1.3851,                 1.0164,               0.008812,               0.008812,               0.008812
                     38,                 2.1637,                 1.4416,                 1.0399,                0.82297,                0.60485,                0.68522,                0.31232,                 2.0642,                 1.4049,                 1.0046,               0.008779,               0.008779,               0.008779
                     39,                 2.1382,                 1.3799,                 1.0305,                0.73141,                0.65013,                0.70995,                0.32158,                 2.0573,                 1.3345,                 1.0035,               0.008746,               0.008746,               0.008746
                     40,                 2.0685,                 1.3466,                 1.0236,                0.76997,                0.61415,                0.65799,                0.26804,                 2.2132,                 1.4034,                 1.0506,               0.008713,               0.008713,               0.008713
                     41,                 2.1056,                 1.3783,                 1.0287,                0.82944,                0.67161,                0.73161,                0.33405,                 1.9981,                 1.2648,                 1.0006,                0.00868,                0.00868,                0.00868
                     42,                 2.0514,                 1.3025,                 1.0094,                0.81867,                0.67796,                0.72035,                0.30753,                 2.1185,                 1.2861,                 1.0091,               0.008647,               0.008647,               0.008647
                     43,                 2.0405,                 1.3322,                 1.0155,                0.83526,                0.69229,                0.75819,                0.35299,                 1.9864,                 1.2645,                0.99647,               0.008614,               0.008614,               0.008614
                     44,                 2.0329,                  1.305,                 1.0069,                0.82308,                 0.6268,                0.69707,                0.31356,                 2.0558,                 1.3633,                 1.0164,               0.008581,               0.008581,               0.008581
                     45,                 2.0091,                 1.2321,                 1.0122,                0.80131,                0.66511,                 0.7072,                0.32261,                 2.0516,                 1.2706,                 1.0119,               0.008548,               0.008548,               0.008548
                     46,                 2.0353,                 1.2794,                 1.0055,                0.83008,                0.66777,                 0.7319,                0.34734,                 1.9251,                 1.2348,                0.98285,               0.008515,               0.008515,               0.008515
                     47,                 1.9827,                 1.2521,                0.99245,                0.83958,                0.66324,                0.75516,                0.36531,                 1.9275,                 1.2959,                0.98371,               0.008482,               0.008482,               0.008482
                     48,                 1.9499,                 1.2148,                 1.0133,                0.83999,                0.67064,                0.72477,                0.32574,                  2.024,                 1.2539,                 1.0092,               0.008449,               0.008449,               0.008449
                     49,                 1.9673,                 1.2032,                 0.9958,                0.86016,                0.69174,                0.74526,                0.34355,                  1.969,                 1.2275,                0.99155,               0.008416,               0.008416,               0.008416
                     50,                 1.9916,                 1.2174,                 1.0042,                0.88608,                0.69221,                0.78728,                0.37418,                 1.9363,                 1.1884,                0.98588,               0.008383,               0.008383,               0.008383
                     51,                 1.9668,                 1.2134,                0.99795,                0.79624,                0.72133,                0.76768,                0.35473,                 1.9319,                 1.1994,                0.98212,                0.00835,                0.00835,                0.00835
                     52,                 1.9586,                 1.1916,                  0.997,                 0.8603,                0.71227,                0.77758,                0.36929,                 1.9087,                 1.2156,                0.97608,               0.008317,               0.008317,               0.008317
                     53,                 1.9285,                  1.185,                0.99363,                0.83568,                0.69392,                0.77072,                0.36378,                 1.9427,                 1.2213,                0.97935,               0.008284,               0.008284,               0.008284
                     54,                 1.9248,                 1.1964,                0.98404,                0.87035,                 0.7151,                0.79701,                0.37843,                 1.8739,                 1.1411,                0.97259,               0.008251,               0.008251,               0.008251
                     55,                 1.9206,                 1.1206,                0.98803,                0.91127,                0.74669,                0.81902,                0.39405,                 1.8899,                 1.0649,                0.97513,               0.008218,               0.008218,               0.008218
                     56,                 1.9253,                 1.1187,                0.99871,                0.86526,                0.73744,                0.81093,                0.38058,                 1.9028,                 1.1342,                0.97131,               0.008185,               0.008185,               0.008185
                     57,                 1.9002,                 1.0889,                0.99748,                0.90775,                0.74584,                0.81734,                0.38587,                 1.9071,                  1.105,                0.98211,               0.008152,               0.008152,               0.008152
                     58,                 1.8905,                 1.0874,                 1.0034,                0.91703,                0.73724,                0.81328,                0.37867,                 1.9624,                 1.1205,                0.98906,               0.008119,               0.008119,               0.008119
                     59,                 1.9076,                 1.0694,                 1.0036,                0.91205,                0.70777,                0.81955,                0.39288,                 1.8597,                 1.1325,                0.97478,               0.008086,               0.008086,               0.008086
                     60,                  1.885,                 1.1079,                0.97497,                0.87525,                0.72969,                0.80303,                0.37047,                 1.8962,                 1.1474,                0.97742,               0.008053,               0.008053,               0.008053
                     61,                 1.8757,                 1.0755,                0.98282,                0.89442,                0.74918,                0.83861,                0.41297,                 1.8527,                 1.0696,                0.96816,                0.00802,                0.00802,                0.00802
                     62,                 1.8187,                 1.0526,                 0.9765,                0.87915,                0.76599,                0.82537,                0.40882,                 1.8319,                 1.0751,                0.96061,               0.007987,               0.007987,               0.007987
                     63,                 1.8784,                  1.112,                0.98117,                0.87194,                0.77021,                0.82525,                0.39341,                 1.8679,                  1.113,                0.96316,               0.007954,               0.007954,               0.007954
                     64,                 1.8927,                  1.091,                0.98186,                0.89744,                0.72042,                0.79069,                0.37449,                 1.9087,                 1.1208,                0.97334,               0.007921,               0.007921,               0.007921
                     65,                 1.8452,                 1.0613,                0.97158,                0.90771,                0.74608,                0.83023,                0.39644,                  1.876,                 1.0672,                0.96821,               0.007888,               0.007888,               0.007888
                     66,                  1.841,                 1.0501,                0.97388,                0.91718,                0.74899,                0.83559,                0.40746,                 1.8476,                 1.1113,                0.96505,               0.007855,               0.007855,               0.007855
                     67,                 1.8276,                 1.0288,                0.96977,                0.91904,                0.76765,                0.85034,                0.40468,                 1.8471,                 1.0572,                 0.9631,               0.007822,               0.007822,               0.007822
                     68,                 1.8275,                 1.0175,                0.98188,                0.91456,                0.75496,                0.83187,                0.41616,                 1.8188,                 1.0468,                0.96062,               0.007789,               0.007789,               0.007789
                     69,                 1.8029,                 1.0233,                0.97334,                0.90447,                0.79519,                0.84744,                 0.4299,                 1.7753,                 1.0002,                0.95298,               0.007756,               0.007756,               0.007756
                     70,                 1.8004,                 1.0104,                0.96101,                0.84183,                0.70501,                0.81649,                0.38395,                 1.8548,                 1.1498,                0.96257,               0.007723,               0.007723,               0.007723
                     71,                 1.8097,                 1.0167,                0.96005,                0.90768,                0.78321,                0.84016,                0.42781,                 1.7981,                 1.0787,                0.95429,                0.00769,                0.00769,                0.00769
                     72,                  1.799,                 0.9905,                0.96673,                0.92707,                0.75715,                0.83946,                0.42308,                 1.7675,                 1.0314,                0.94609,               0.007657,               0.007657,               0.007657
                     73,                 1.8047,                 1.0008,                0.96365,                0.89674,                0.77425,                0.84449,                0.41623,                 1.8186,                 1.1095,                0.95478,               0.007624,               0.007624,               0.007624
                     74,                 1.8146,                 1.0225,                 0.9685,                 0.9053,                0.77741,                0.85782,                 0.4193,                 1.8482,                 1.0493,                0.97221,               0.007591,               0.007591,               0.007591
                     75,                 1.7987,                 1.0098,                0.97174,                0.91015,                0.76391,                0.84631,                0.40468,                 1.8577,                 1.0825,                0.96421,               0.007558,               0.007558,               0.007558
                     76,                 1.7979,                 1.0092,                0.96406,                0.89792,                0.79673,                0.85606,                0.42118,                 1.7985,                 1.0761,                0.94529,               0.007525,               0.007525,               0.007525
                     77,                 1.7587,                0.97336,                0.96852,                0.87064,                0.80761,                0.86004,                0.42406,                 1.8312,                 1.0555,                0.95839,               0.007492,               0.007492,               0.007492
