                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.3093,                 7.6792,                 1.9896,                      0,                      0,                      0,                      0,                 4.8504,                  5.641,                  2.085,               0.070429,              0.0032857,              0.0032857
                      2,                 3.4484,                 4.4365,                 1.4945,                0.69008,                0.01792,                0.00851,                 0.0016,                 4.9393,                 5.4664,                   2.32,               0.040407,              0.0065972,              0.0065972
                      3,                 3.1872,                 3.8377,                 1.3775,                  0.167,                0.06989,                0.00023,                  8e-05,                 4.2968,                 4537.4,                 2.0153,               0.010363,              0.0098867,              0.0098867
                      4,                 3.0078,                 3.4058,                 1.3069,                0.42207,                0.04808,                0.02863,                0.00831,                 4.1709,                 7.6154,                 1.8077,               0.009901,               0.009901,               0.009901
                      5,                 2.9003,                 3.0784,                 1.2763,                0.11275,                0.12079,                 0.0452,                0.01176,                 3.9798,                 5.9682,                 1.6414,               0.009868,               0.009868,               0.009868
                      6,                 2.7641,                 2.8601,                  1.207,                 0.7716,                0.11852,                0.14614,                0.05231,                 2.7531,                 3.9443,                 1.1936,               0.009835,               0.009835,               0.009835
                      7,                 2.7226,                 2.7187,                 1.1985,                0.30152,                0.35075,                0.22727,                 0.0857,                 2.6159,                 2.6793,                 1.1615,               0.009802,               0.009802,               0.009802
                      8,                 2.6496,                 2.6169,                 1.1805,                0.30941,                0.18224,                0.12493,                0.03654,                 3.5277,                 3.2172,                 1.3488,               0.009769,               0.009769,               0.009769
                      9,                 2.6182,                 2.5215,                 1.1485,                0.31843,                0.35374,                0.28794,                0.10771,                  2.587,                 2.7082,                 1.1183,               0.009736,               0.009736,               0.009736
                     10,                 2.5772,                 2.5093,                 1.1534,                0.34315,                0.38127,                0.31123,                0.11968,                 2.5016,                 2.3998,                 1.1071,               0.009703,               0.009703,               0.009703
                     11,                 2.4865,                 2.3469,                 1.1288,                0.37854,                0.37859,                0.30995,                0.12074,                 2.5364,                 2.4146,                 1.1033,                0.00967,                0.00967,                0.00967
                     12,                 2.4142,                 2.2534,                   1.12,                0.40657,                0.33203,                0.29136,                0.10199,                 2.7028,                 2.4723,                 1.1463,               0.009637,               0.009637,               0.009637
                     13,                 2.4383,                 2.2058,                 1.1099,                0.39917,                0.38146,                0.30882,                0.10851,                 2.5699,                 2.1447,                 1.1591,               0.009604,               0.009604,               0.009604
