                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2933,                 5.3647,                 1.4568,                0.00866,                0.09731,                0.02081,                0.00835,                 3.7132,                 3.8373,                 1.7974,               0.070429,              0.0032857,              0.0032857
                      2,                 3.0176,                 3.6692,                  1.306,                0.84473,                0.02509,                0.01943,                0.00506,                 3.8514,                 12.005,                 2.3902,               0.040407,              0.0065972,              0.0065972
                      3,                  2.823,                 3.1906,                 1.2544,                0.67715,                0.03584,                0.02214,                0.00817,                 4.4306,                 112.13,                 2.2885,               0.010363,              0.0098867,              0.0098867
                      4,                 2.7026,                 2.9538,                 1.2059,                0.12295,                0.19926,                0.09883,                0.02771,                 3.5933,                 7.0125,                 1.5293,               0.009901,               0.009901,               0.009901
                      5,                 2.5734,                 2.6267,                  1.171,                0.23313,                0.26818,                0.20574,                0.08321,                 2.6237,                 4.0837,                 1.1744,               0.009868,               0.009868,               0.009868
                      6,                  2.491,                 2.5032,                 1.1221,                 0.5086,                0.23071,                0.28124,                0.09905,                 2.6856,                 3.0922,                 1.1517,               0.009835,               0.009835,               0.009835
                      7,                 2.4404,                 2.3635,                 1.1201,                0.29259,                0.35675,                0.30299,                0.11917,                 2.6281,                 2.9495,                 1.1402,               0.009802,               0.009802,               0.009802
                      8,                 2.3688,                 2.2414,                 1.1063,                0.47498,                 0.3625,                0.33772,                0.13466,                 2.4473,                 2.4269,                 1.0968,               0.009769,               0.009769,               0.009769
                      9,                 2.3727,                 2.2635,                 1.0926,                0.49825,                0.40563,                0.39061,                0.16415,                 2.2972,                 3.1813,                  1.067,               0.009736,               0.009736,               0.009736
                     10,                 2.3613,                 2.1701,                 1.0921,                0.56087,                0.37095,                0.38173,                0.14495,                 2.5204,                 2.0967,                 1.1175,               0.009703,               0.009703,               0.009703
                     11,                 2.2969,                 2.0423,                 1.0834,                0.43443,                0.28249,                0.30003,                0.09791,                 2.6489,                 2.6186,                 1.1333,                0.00967,                0.00967,                0.00967
                     12,                 2.2705,                 2.0047,                 1.0809,                0.28518,                0.21617,                0.14496,                0.04604,                 3.5338,                 3.7098,                 1.3331,               0.009637,               0.009637,               0.009637
                     13,                 2.2552,                 1.9427,                  1.066,                0.54062,                0.46819,                  0.453,                0.19505,                 2.2072,                   1.85,                 1.0454,               0.009604,               0.009604,               0.009604
                     14,                 2.1822,                 1.8018,                  1.069,                0.54525,                0.42786,                0.47664,                0.22024,                 2.1548,                 2.0603,                 1.0379,               0.009571,               0.009571,               0.009571
